Serial	Description	Category
n09829305	"babysitter, baby-sitter, sitter"	n10229498
n09830194	back	n10101634
n09830400	backbencher	n10253995
n09830553	back judge	n10101427
n09830629	"backpacker, packer"	n10176111
n09830759	"backroom boy, brain truster"	n09774266
n09831166	backslapper	n10059582
n09831303	backstroker	n10683349
n09832321	"bag, old bag"	n10739636
n09832538	baggageman	n09821831
n09833111	bailiff	n10372373
n09833651	baker	n10309896
n09833751	balancer	n09764381
n09834378	"ball carrier, runner"	n10101634
n09834699	ballet dancer	n09989502
n09834885	ballet master	n09989502
n09835017	ballet mistress	n09989502
n09835153	balletomane	n10059582
n09836786	picador	n10185793
n09837459	bandsman	n10340312
n09837981	bank examiner	n10067968
n09838701	Baptist	n09679316
n09839022	bard	n10444194
n09839085	bar fly	n10034201
n09839702	barmaid	n09841188
n09840050	"barnstormer, playactor, play-actor, trouper"	n09765278
n09840217	"baron, big businessman, business leader, king, magnate, mogul, power, top executive, tycoon"	n09882007
n09840963	barrister	n10249950
n09841515	"baseball coach, baseball manager"	n09931640
n09841696	"base runner, runner"	n09835506
n09841955	basketball coach	n09931640
n09842629	bassist	n10340312
n09842716	bassoonist	n10340312
n09843716	batman	n09821831
n09843956	"batter, hitter, slugger, batsman"	n09835506
n09844356	"battle-ax, battle-axe"	n10780632
n09844457	Bavarian	n09747722
n09844685	beachcomber	n10744544
n09844770	beadle	n10372373
n09845589	"beast, wolf, savage, brute, wildcat"	n09821253
n09845999	"beautician, cosmetician"	n09974648
n09846142	beauty consultant	n09774266
n09846469	"Bedouin, Beduin"	n10359759
n09846894	"beer drinker, ale drinker"	n10034201
n09847010	"beggar, mendicant"	n10409011
n09847425	begum	n10243137
n09847543	"beldam, beldame"	n10377021
n09848775	"bellboy, bellman, bellhop"	n09821831
n09848916	bell captain	n10676877
n09849012	belle	n10129825
n09849167	bell founder	n10107778
n09849256	bell ringer	n10340312
n09849462	"belly dancer, exotic belly dancer, exotic dancer"	n09989502
n09849874	bench warmer	n10671042
n09849990	"benedick, benedict"	n10193967
n09850760	"berserker, berserk"	n09730204
n09852179	bey	n10140314
n09854708	bimbo	n10129825
n09856401	bird fancier	n10078131
n09858560	black marketeer	n10677271
n09858733	Black Muslim	n10315837
n09858913	Black Panther	n10315837
n09859152	blacksmith	n10614629
n09859557	"blaster, chargeman"	n10791221
n09859818	bleeding heart	n10686073
n09859975	blind date	n09992538
n09860248	blocker	n10101634
n09860653	blood brother	n09785042
n09860813	blood donor	n10026058
n09861059	bludgeoner	n09821253
n09861395	"bluejacket, navy man, sailor, sailor boy"	n10582746
n09861718	"bluffer, four-flusher"	n09998101
n09861863	boatbuilder	n09878275
n09862345	boarder	n10559288
n09862479	boarder	n10213652
n09865547	bonesetter	n10165109
n09865744	bookbinder	n09974648
n09865838	"bookdealer, book seller"	n10309896
n09866115	bookkeeper	n09761403
n09866559	bookworm	n10508710
n09867069	"bootmaker, boot maker"	n09933098
n09867311	border patrolman	n10249459
n09868703	bottom dog	n10669991
n09869009	"bouncer, chucker-out"	n10150071
n09869171	"bounder, leaper"	n10226803
n09869317	bounty hunter	n10193026
n09869447	bounty hunter	n10494935
n09869706	Bourbon	n10508475
n09870096	bowler	n09977326
n09870746	Boxer	n09698108
n09871681	Boy Scout	n10563183
n09871952	boy wonder	n10479783
n09872066	"bragger, braggart, boaster, blowhard, line-shooter, vaunter"	n10047459
n09872557	"brahman, brahmin"	n09713501
n09873135	brakeman	n10722758
n09873769	breaststroker	n10683349
n09873899	"breeder, stock breeder"	n10658501
n09874014	brewer	n10292316
n09874518	bricklayer	n09974648
n09874618	bride	n10356066
n09874725	bride	n10401829
n09875353	"bridge player, hand"	n09894654
n09876152	broker-dealer	n10474446
n09876308	"broth of a boy, broth of a man"	n09870926
n09876454	"brother, blood brother"	n10286084
n09876701	Brother	n10112129
n09876892	brother	n10307234
n09879297	"bully, tough, hooligan, ruffian, roughneck, rowdy, yob, yobo, yobbo"	n09821253
n09880427	"bureaucrat, administrative official"	n10372373
n09880881	burgomaster	n10303814
n09881358	"busboy, waiter's assistant"	n10013614
n09881613	Bushman	n10359759
n09883630	"buster, bronco buster, broncobuster"	n10185793
n09884391	"butcher, meatman"	n10309896
n09884509	"butler, pantryman"	n10292192
n09885145	"buyer, purchaser, emptor, vendee"	n09984659
n09885676	cabalist	n10307234
n09886403	"caddie, golf caddie"	n09821831
n09886540	"cadet, plebe"	n10722385
n09888017	"caller, caller-up, phoner, telephoner"	n10630188
n09889065	call girl	n10485440
n09889539	"cameraman, camera operator, cinematographer"	n10426749
n09890296	camp follower	n10485440
n09890894	candlemaker	n09907566
n09892513	"captain, headwaiter, maitre d'hotel, maitre d'"	n10013614
n09893916	cardholder	n09894654
n09894909	"cardsharp, card sharp, cardsharper, card sharper, sharper, sharpie, sharpy, card shark"	n09894654
n09895138	career girl	n09895222
n09895480	career man	n09895222
n09895701	caretaker	n09984298
n09895902	caretaker	n10372373
n09896170	caricaturist	n10400998
n09896311	carillonneur	n10340312
n09896826	"carper, niggler"	n09979072
n09897603	"carrier, newsboy"	n10001217
n09898107	Carthusian	n10112129
n09898346	cartoonist	n10029068
n09898797	Casanova	n10789118
n09899929	"casuist, sophist"	n10510339
n09900284	Catalan	n09731906
n09900391	cataleptic	n10490141
n09900499	"cataloger, cataloguer"	n10257948
n09901642	caterer	n10677271
n09902017	"cattleman, cow man, beef man"	n10658501
n09902256	"cavalier, chevalier"	n10285135
n09903501	"cellist, violoncellist"	n10340312
n09903639	censor	n10372373
n09904057	"census taker, enumerator"	n10372373
n09904556	center	n09842047
n09904708	center	n10179291
n09905185	"certified public accountant, CPA"	n09761403
n09905530	"chachka, tsatske, tshatshke, tchotchke, tchotchkeleh"	n10129825
n09905697	chain-smoker	n10614976
n09907717	wax-chandler	n09907566
n09908508	chaplain	n09927451
n09909363	character actor	n09765278
n09909760	charge	n10004804
n09910556	chartered accountant	n09761403
n09910719	charter member	n10307234
n09910840	"chartist, technical analyst"	n09791248
n09911465	chatelaine	n10323634
n09911570	"chatterer, babbler, prater, chatterbox, magpie, spouter"	n10630188
n09912075	chauvinist	n09853645
n09912243	antifeminist	n09853645
n09912995	checker	n10067968
n09913110	checker	n09821831
n09915651	chess master	n09915834
n09918867	"child prodigy, infant prodigy, wonder child"	n10479783
n09919451	chit	n10129825
n09919771	"choirmaster, precentor, cantor"	n10339966
n09920901	"chorus girl, showgirl, chorine"	n09989502
n09921168	chronicler	n10177150
n09921291	Chukchi	n09731082
n09921792	"Church Father, Father of the Church, Father"	n10705615
n09922799	church officer	n10372373
n09923101	cigarette smoker	n10614976
n09923186	cigar smoker	n10614976
n09923561	circus acrobat	n09764381
n09924106	city father	n10372373
n09924313	"city slicker, city boy"	n10611869
n09925459	civil servant	n10372373
n09925824	claim jumper	n10742546
n09926246	"clarinetist, clarinettist"	n10340312
n09926656	"classicist, classical scholar"	n10191192
n09926991	claustrophobe	n10354898
n09928136	"cleric, churchman, divine, ecclesiastic"	n09927451
n09929005	cliff dweller	n09647473
n09929577	clinician	n10462860
n09930102	"clocksmith, clockmaker"	n09974648
n09930772	"clothier, haberdasher"	n10309896
n09930876	"clown, buffoon, goof, goofball, merry andrew"	n09940146
n09932227	coachbuilder	n09974648
n09932429	coalman	n10001217
n09933235	cocaine addict	n10035952
n09933411	"codefendant, co-defendant"	n09762101
n09933842	"codger, old codger"	n10375506
n09933972	co-beneficiary	n09850121
n09934337	cog	n10669991
n09935107	coiner	n10126177
n09936825	colleen	n10129825
n09936892	"college student, university student"	n09937056
n09937489	"Colonel Blimp, Blimp"	n10508475
n09937802	colonialist	n09848489
n09937903	"colonizer, coloniser"	n10107303
n09938672	colorist	n10391653
n09939154	"columnist, editorialist"	n10224578
n09940725	comedian	n09765278
n09940818	comedienne	n09940146
n09941172	"comfort woman, ianfu"	n10485440
n09942275	"commando, ranger"	n10582746
n09942587	commercial artist	n09812068
n09942697	"commissar, political commissar"	n10372373
n09943811	commissioner	n09770472
n09944022	commissioner	n10307234
n09944160	committee member	n10307234
n09944763	"council member, councillor"	n10307234
n09945319	"communist, commie"	n10618848
n09947232	composer	n10339966
n09949946	"compositor, typesetter, setter, typographer"	n10475297
n09950150	Comptroller General	n10372373
n09950318	Comptroller of the Currency	n10372373
n09952163	"conciliator, make-peace, pacifier, peacemaker, reconciler"	n09624559
n09952393	"concubine, courtesan, doxy, paramour"	n10323752
n09952539	"conductor, music director, director"	n10339966
n09953178	conditioner	n09931640
n09953275	conductress	n09953052
n09953775	Confederate soldier	n09953615
n09955015	"swindler, defrauder, chiseller, chiseler, gouger, scammer, grifter"	n09998101
n09955406	"Confucian, Confucianist"	n09848489
n09955643	Congregationalist	n09679316
n09955781	"congressman, congresswoman, representative"	n10253995
n09956035	connection	n10677271
n09957523	Conservative	n10307234
n09958133	"Nonconformist, chapelgoer"	n09679316
n09958292	Anglican	n09679316
n09958569	"consigner, consignor"	n10590339
n09959142	constable	n10249459
n09959527	"construction worker, hard hat"	n09974648
n09960117	"contact, middleman"	n10522035
n09960545	contortionist	n09764381
n09960688	contractor	n09878275
n09961999	"conversationalist, conversationist, schmoozer"	n10630188
n09962612	conveyancer	n10249950
n09963574	chef	n09963320
n09963680	"cookie, cooky"	n09963320
n09963773	"cooper, barrel maker"	n09974648
n09963914	coordinator	n10383237
n09964315	coppersmith	n09974648
n09964659	"copy editor, copyreader, text editor"	n10044879
n09965787	cornerback	n10101634
n09966710	"correspondent, newspaperman, newspaperwoman, newswriter, pressman"	n10224578
n09967816	cost accountant	n09761403
n09968433	cotenant	n10700640
n09968741	"cotter, cottar"	n10410668
n09968845	"counselor, counsellor"	n09774266
n09969062	"counselor, counsellor"	n10676877
n09969589	counterdemonstrator	n10002760
n09971385	"county agent, agricultural agent, extension agent"	n09774266
n09971682	courser	n10193026
n09971839	courtier	n09821831
n09972587	cow	n10739636
n09973490	"coxcomb, cockscomb"	n09991026
n09974054	"crab, crabby person"	n10148305
n09974177	"crack addict, binger"	n10035952
n09976283	"crazy, loony, looney, nutcase, weirdo"	n10276764
n09977660	"criminal, felon, crook, outlaw, malefactor"	n10474950
n09978697	criollo	n10629647
n09979321	critic	n10066732
n09979985	crofter	n10613738
n09980275	crossbencher	n10253995
n09980805	"crossover voter, crossover"	n10760340
n09981092	crown prince	n10472799
n09981183	crown princess	n10474064
n09981278	crown princess	n10780632
n09982013	cubist	n10391653
n09982152	cuckold	n10193967
n09982760	cultural attache	n09821086
n09983053	cupbearer	n09821831
n09983572	"curate, minister of religion, minister, parson, pastor, rector"	n09927451
n09983889	"curator, conservator"	n09984298
n09984187	currier	n09974648
n09986189	"cyclist, bicyclist, bicycler, wheeler"	n10411163
n09986700	Cynic	n10423589
n09986904	cytogeneticist	n10126424
n09987161	czar	n10735298
n09987573	"czarina, tsarina, tzarina, czaritza, tsaritsa"	n10083823
n09989045	"dame, doll, wench, skirt, chick, bird"	n10129825
n09990777	"dancing-master, dance master"	n09989502
n09991740	dark horse	n09889691
n09992138	darner	n10308732
n09992746	dauber	n10391653
n09993122	dauphin	n10472799
n09993651	day boarder	n10559288
n09994119	"lotus-eater, stargazer"	n09993901
n09994878	deadeye	n10294953
n09995573	"decoy, steerer"	n09761068
n09995757	deer hunter	n10193026
n09996636	dealer	n09894654
n09999795	"defeatist, negativist"	n10419472
n10000158	"defense attorney, defense lawyer"	n10249950
n10000787	delegate	n10522035
n10001882	demimondaine	n10485440
n10002257	"demographer, demographist, population scientist"	n10620758
n10002644	demoniac	n10329945
n10002982	"demonstrator, sales demonstrator"	n10548681
n10003476	den mother	n09908273
n10003575	den mother	n10676877
n10004019	"dental technician, denturist"	n10696251
n10005548	"deputy, deputy sheriff"	n10249459
n10005934	deputy	n10253995
n10006081	derelict	n10409011
n10006337	dervish	n10076307
n10007995	"desk clerk, hotel desk clerk, hotel clerk"	n09928451
n10009671	"detractor, disparager, depreciator, knocker"	n09986532
n10010243	deviationist	n10006842
n10010632	devisee	n09850121
n10010864	devourer	n10042300
n10012244	dictator	n10630188
n10012713	"diemaker, diesinker, die-sinker"	n09974648
n10013242	diner	n10042300
n10013927	"diplomat, diplomatist"	n10372373
n10014658	diplomat	n09624559
n10014939	"director, manager, managing director"	n09770949
n10015215	"director, theater director, theatre director"	n10676877
n10015607	"Director of Central Intelligence, DCI"	n09770472
n10015792	dirty old man	n10314054
n10017794	dispenser	n10677271
n10018653	distiller	n10292316
n10018747	distortionist	n10391653
n10018861	"distributor, distributer"	n10677271
n10019406	"diver, plunger"	n10683349
n10020670	divorce lawyer	n10249950
n10022111	"Doctor of the Church, Doctor"	n10705615
n10022759	"dodger, fox, slyboots"	n09998101
n10023506	dog in the manger	n10576962
n10024937	Dominican	n10774440
n10025060	"dominus, dominie, domine, dominee"	n09927451
n10025195	Don	n10127273
n10025487	Don Juan	n10789118
n10026367	don't-know	n10213180
n10026553	"doorkeeper, doorman, door guard, hall porter, porter, gatekeeper, ostiary"	n10150071
n10027590	"double-crosser, double-dealer, two-timer, betrayer, traitor"	n09998101
n10028289	dowager	n10780284
n10028638	"draft dodger, draft evader"	n10006842
n10028765	"draftee, conscript, inductee"	n10582746
n10029729	"dragon, tartar"	n10739636
n10030147	"drama critic, theater critic"	n09979589
n10032884	drawler	n10630188
n10033572	dressmaker's model	n10324560
n10033888	dribbler	n09842047
n10034785	"driveller, jabberer"	n10630188
n10035314	driver	n10136959
n10036444	Druid	n10471250
n10036802	"drum majorette, majorette"	n09843824
n10037080	drunk	n10034201
n10037385	"drunkard, drunk, rummy, sot, inebriate, wino"	n10034201
n10038547	duck hunter	n10193026
n10039164	duenna	n09908273
n10039946	dunker	n09842047
n10040049	dunker	n10042300
n10041887	"earner, wage earner"	n10222822
n10042186	East-sider	n09744679
n10043024	"eclectic, eclecticist"	n10423589
n10043491	"econometrician, econometrist"	n10043643
n10044763	edger	n10351281
n10045361	subeditor	n10044879
n10047199	"egocentric, egoist"	n10576962
n10047371	egomaniac	n10047459
n10048001	ejaculator	n10630188
n10048485	elder statesman	n10650162
n10048729	"eldest hand, elder hand"	n09894654
n10048836	elected official	n10372373
n10049648	electrologist	n10165109
n10049788	electroplater	n10439203
n10050043	elegist	n10444194
n10051026	"emancipator, manumitter"	n10257221
n10051215	embalmer	n10331841
n10051552	embroiderer	n10351281
n10052694	"emissary, envoy"	n10522035
n10053591	empiricist	n10423589
n10055181	"conjurer, conjuror, conjure man"	n10784544
n10055566	"encyclopedist, encyclopaedist"	n09946957
n10056719	"end man, corner man"	n10321474
n10058027	engraver	n10475687
n10058777	enlisted person	n10582746
n10059904	"entomologist, bugologist, bug-hunter"	n10806222
n10060904	Green	n10060621
n10061195	enzymologist	n09854915
n10061323	eparch	n10140314
n10061554	Ephesian	n09710164
n10062275	Episcopalian	n09679316
n10062385	epistemologist	n10423589
n10062492	equerry	n09821831
n10062594	equerry	n10372373
n10062785	escalader	n09929298
n10062996	"escapist, dreamer, wishful thinker"	n09993901
n10063177	"escapologist, escape expert"	n10280674
n10063340	eschatologist	n10705615
n10063461	escort	n09821831
n10064229	esquire	n09821831
n10064537	"esthete, aesthete"	n09956387
n10064669	"esthetician, aesthetician"	n10423589
n10065066	"ethicist, ethician"	n10423589
n10065643	ethnographer	n09796323
n10065758	ethnologist	n09796323
n10065911	ethologist	n10806222
n10066314	etymologist	n10256080
n10067867	evolutionist	n09848489
n10069645	"executive, executive director"	n09770949
n10069981	executive secretary	n10569744
